CaseName,TimeStep,B0x,B0y,B0z,ns,__CatalystChannel__,TimeValue,ScalarField,FILE
GEM_1,2487,0.0195,0,0,2,particles,621.75,mag(B),data/GEM_1_2487_0.0195_0_0_2_particles_621.75_mag(B).vtu
GEM_1,2487,0.0195,0,0,2,particles,621.75,Bz,data/GEM_1_2487_0.0195_0_0_2_particles_621.75_Bz.vtu
GEM_1,2488,0.0195,0,0,2,particles,622,mag(B),data/GEM_1_2488_0.0195_0_0_2_particles_622_mag(B).vtu
GEM_1,2488,0.0195,0,0,2,particles,622,Bz,data/GEM_1_2488_0.0195_0_0_2_particles_622_Bz.vtu
GEM_1,2489,0.0195,0,0,2,particles,622.25,mag(B),data/GEM_1_2489_0.0195_0_0_2_particles_622.25_mag(B).vtu
GEM_1,2489,0.0195,0,0,2,particles,622.25,Bz,data/GEM_1_2489_0.0195_0_0_2_particles_622.25_Bz.vtu
GEM_1,2490,0.0195,0,0,2,particles,622.5,mag(B),data/GEM_1_2490_0.0195_0_0_2_particles_622.5_mag(B).vtu
GEM_1,2490,0.0195,0,0,2,particles,622.5,Bz,data/GEM_1_2490_0.0195_0_0_2_particles_622.5_Bz.vtu
GEM_1,2491,0.0195,0,0,2,particles,622.75,mag(B),data/GEM_1_2491_0.0195_0_0_2_particles_622.75_mag(B).vtu
GEM_1,2491,0.0195,0,0,2,particles,622.75,Bz,data/GEM_1_2491_0.0195_0_0_2_particles_622.75_Bz.vtu
GEM_1,2492,0.0195,0,0,2,particles,623,mag(B),data/GEM_1_2492_0.0195_0_0_2_particles_623_mag(B).vtu
GEM_1,2492,0.0195,0,0,2,particles,623,Bz,data/GEM_1_2492_0.0195_0_0_2_particles_623_Bz.vtu
GEM_1,2493,0.0195,0,0,2,particles,623.25,mag(B),data/GEM_1_2493_0.0195_0_0_2_particles_623.25_mag(B).vtu
GEM_1,2493,0.0195,0,0,2,particles,623.25,Bz,data/GEM_1_2493_0.0195_0_0_2_particles_623.25_Bz.vtu
GEM_1,2494,0.0195,0,0,2,particles,623.5,mag(B),data/GEM_1_2494_0.0195_0_0_2_particles_623.5_mag(B).vtu
GEM_1,2494,0.0195,0,0,2,particles,623.5,Bz,data/GEM_1_2494_0.0195_0_0_2_particles_623.5_Bz.vtu
GEM_1,2495,0.0195,0,0,2,particles,623.75,mag(B),data/GEM_1_2495_0.0195_0_0_2_particles_623.75_mag(B).vtu
GEM_1,2495,0.0195,0,0,2,particles,623.75,Bz,data/GEM_1_2495_0.0195_0_0_2_particles_623.75_Bz.vtu
GEM_1,2496,0.0195,0,0,2,particles,624,mag(B),data/GEM_1_2496_0.0195_0_0_2_particles_624_mag(B).vtu
GEM_1,2496,0.0195,0,0,2,particles,624,Bz,data/GEM_1_2496_0.0195_0_0_2_particles_624_Bz.vtu
GEM_1,2497,0.0195,0,0,2,particles,624.25,mag(B),data/GEM_1_2497_0.0195_0_0_2_particles_624.25_mag(B).vtu
GEM_1,2497,0.0195,0,0,2,particles,624.25,Bz,data/GEM_1_2497_0.0195_0_0_2_particles_624.25_Bz.vtu
GEM_1,2498,0.0195,0,0,2,particles,624.5,mag(B),data/GEM_1_2498_0.0195_0_0_2_particles_624.5_mag(B).vtu
GEM_1,2498,0.0195,0,0,2,particles,624.5,Bz,data/GEM_1_2498_0.0195_0_0_2_particles_624.5_Bz.vtu
GEM_1,2499,0.0195,0,0,2,particles,624.75,mag(B),data/GEM_1_2499_0.0195_0_0_2_particles_624.75_mag(B).vtu
GEM_1,2499,0.0195,0,0,2,particles,624.75,Bz,data/GEM_1_2499_0.0195_0_0_2_particles_624.75_Bz.vtu
GEM_1,2500,0.0195,0,0,2,particles,625,mag(B),data/GEM_1_2500_0.0195_0_0_2_particles_625_mag(B).vtu
GEM_1,2500,0.0195,0,0,2,particles,625,Bz,data/GEM_1_2500_0.0195_0_0_2_particles_625_Bz.vtu
GEM_2,0,0.0195,0,0.0195,2,particles,0,mag(B),data/GEM_2_0_0.0195_0_0.0195_2_particles_0_mag(B).vtu
GEM_2,0,0.0195,0,0.0195,2,particles,0,Bz,data/GEM_2_0_0.0195_0_0.0195_2_particles_0_Bz.vtu
GEM_2,2450,0.0195,0,0.0195,2,particles,612.5,mag(B),data/GEM_2_2450_0.0195_0_0.0195_2_particles_612.5_mag(B).vtu
GEM_2,2450,0.0195,0,0.0195,2,particles,612.5,Bz,data/GEM_2_2450_0.0195_0_0.0195_2_particles_612.5_Bz.vtu
GEM_2,2451,0.0195,0,0.0195,2,particles,612.75,mag(B),data/GEM_2_2451_0.0195_0_0.0195_2_particles_612.75_mag(B).vtu
GEM_2,2451,0.0195,0,0.0195,2,particles,612.75,Bz,data/GEM_2_2451_0.0195_0_0.0195_2_particles_612.75_Bz.vtu
GEM_2,2452,0.0195,0,0.0195,2,particles,613,mag(B),data/GEM_2_2452_0.0195_0_0.0195_2_particles_613_mag(B).vtu
GEM_2,2452,0.0195,0,0.0195,2,particles,613,Bz,data/GEM_2_2452_0.0195_0_0.0195_2_particles_613_Bz.vtu
GEM_2,2453,0.0195,0,0.0195,2,particles,613.25,mag(B),data/GEM_2_2453_0.0195_0_0.0195_2_particles_613.25_mag(B).vtu
GEM_2,2453,0.0195,0,0.0195,2,particles,613.25,Bz,data/GEM_2_2453_0.0195_0_0.0195_2_particles_613.25_Bz.vtu
GEM_2,2454,0.0195,0,0.0195,2,particles,613.5,mag(B),data/GEM_2_2454_0.0195_0_0.0195_2_particles_613.5_mag(B).vtu
GEM_2,2454,0.0195,0,0.0195,2,particles,613.5,Bz,data/GEM_2_2454_0.0195_0_0.0195_2_particles_613.5_Bz.vtu
GEM_2,2455,0.0195,0,0.0195,2,particles,613.75,mag(B),data/GEM_2_2455_0.0195_0_0.0195_2_particles_613.75_mag(B).vtu
GEM_2,2455,0.0195,0,0.0195,2,particles,613.75,Bz,data/GEM_2_2455_0.0195_0_0.0195_2_particles_613.75_Bz.vtu
GEM_2,2456,0.0195,0,0.0195,2,particles,614,mag(B),data/GEM_2_2456_0.0195_0_0.0195_2_particles_614_mag(B).vtu
GEM_2,2456,0.0195,0,0.0195,2,particles,614,Bz,data/GEM_2_2456_0.0195_0_0.0195_2_particles_614_Bz.vtu
GEM_2,2457,0.0195,0,0.0195,2,particles,614.25,mag(B),data/GEM_2_2457_0.0195_0_0.0195_2_particles_614.25_mag(B).vtu
GEM_2,2457,0.0195,0,0.0195,2,particles,614.25,Bz,data/GEM_2_2457_0.0195_0_0.0195_2_particles_614.25_Bz.vtu
GEM_2,2458,0.0195,0,0.0195,2,particles,614.5,mag(B),data/GEM_2_2458_0.0195_0_0.0195_2_particles_614.5_mag(B).vtu
GEM_2,2458,0.0195,0,0.0195,2,particles,614.5,Bz,data/GEM_2_2458_0.0195_0_0.0195_2_particles_614.5_Bz.vtu
GEM_2,2459,0.0195,0,0.0195,2,particles,614.75,mag(B),data/GEM_2_2459_0.0195_0_0.0195_2_particles_614.75_mag(B).vtu
GEM_2,2459,0.0195,0,0.0195,2,particles,614.75,Bz,data/GEM_2_2459_0.0195_0_0.0195_2_particles_614.75_Bz.vtu
GEM_2,2460,0.0195,0,0.0195,2,particles,615,mag(B),data/GEM_2_2460_0.0195_0_0.0195_2_particles_615_mag(B).vtu
GEM_2,2460,0.0195,0,0.0195,2,particles,615,Bz,data/GEM_2_2460_0.0195_0_0.0195_2_particles_615_Bz.vtu
GEM_2,2461,0.0195,0,0.0195,2,particles,615.25,mag(B),data/GEM_2_2461_0.0195_0_0.0195_2_particles_615.25_mag(B).vtu
GEM_2,2461,0.0195,0,0.0195,2,particles,615.25,Bz,data/GEM_2_2461_0.0195_0_0.0195_2_particles_615.25_Bz.vtu
GEM_2,2462,0.0195,0,0.0195,2,particles,615.5,mag(B),data/GEM_2_2462_0.0195_0_0.0195_2_particles_615.5_mag(B).vtu
GEM_2,2462,0.0195,0,0.0195,2,particles,615.5,Bz,data/GEM_2_2462_0.0195_0_0.0195_2_particles_615.5_Bz.vtu
GEM_2,2463,0.0195,0,0.0195,2,particles,615.75,mag(B),data/GEM_2_2463_0.0195_0_0.0195_2_particles_615.75_mag(B).vtu
GEM_2,2463,0.0195,0,0.0195,2,particles,615.75,Bz,data/GEM_2_2463_0.0195_0_0.0195_2_particles_615.75_Bz.vtu
GEM_2,2464,0.0195,0,0.0195,2,particles,616,mag(B),data/GEM_2_2464_0.0195_0_0.0195_2_particles_616_mag(B).vtu
GEM_2,2464,0.0195,0,0.0195,2,particles,616,Bz,data/GEM_2_2464_0.0195_0_0.0195_2_particles_616_Bz.vtu
GEM_2,2465,0.0195,0,0.0195,2,particles,616.25,mag(B),data/GEM_2_2465_0.0195_0_0.0195_2_particles_616.25_mag(B).vtu
GEM_2,2465,0.0195,0,0.0195,2,particles,616.25,Bz,data/GEM_2_2465_0.0195_0_0.0195_2_particles_616.25_Bz.vtu
GEM_2,2466,0.0195,0,0.0195,2,particles,616.5,mag(B),data/GEM_2_2466_0.0195_0_0.0195_2_particles_616.5_mag(B).vtu
GEM_2,2466,0.0195,0,0.0195,2,particles,616.5,Bz,data/GEM_2_2466_0.0195_0_0.0195_2_particles_616.5_Bz.vtu
GEM_2,2467,0.0195,0,0.0195,2,particles,616.75,mag(B),data/GEM_2_2467_0.0195_0_0.0195_2_particles_616.75_mag(B).vtu
GEM_2,2467,0.0195,0,0.0195,2,particles,616.75,Bz,data/GEM_2_2467_0.0195_0_0.0195_2_particles_616.75_Bz.vtu
GEM_2,2468,0.0195,0,0.0195,2,particles,617,mag(B),data/GEM_2_2468_0.0195_0_0.0195_2_particles_617_mag(B).vtu
GEM_2,2468,0.0195,0,0.0195,2,particles,617,Bz,data/GEM_2_2468_0.0195_0_0.0195_2_particles_617_Bz.vtu
GEM_2,2469,0.0195,0,0.0195,2,particles,617.25,mag(B),data/GEM_2_2469_0.0195_0_0.0195_2_particles_617.25_mag(B).vtu
GEM_2,2469,0.0195,0,0.0195,2,particles,617.25,Bz,data/GEM_2_2469_0.0195_0_0.0195_2_particles_617.25_Bz.vtu
GEM_2,2470,0.0195,0,0.0195,2,particles,617.5,mag(B),data/GEM_2_2470_0.0195_0_0.0195_2_particles_617.5_mag(B).vtu
GEM_2,2470,0.0195,0,0.0195,2,particles,617.5,Bz,data/GEM_2_2470_0.0195_0_0.0195_2_particles_617.5_Bz.vtu
GEM_2,2471,0.0195,0,0.0195,2,particles,617.75,mag(B),data/GEM_2_2471_0.0195_0_0.0195_2_particles_617.75_mag(B).vtu
GEM_2,2471,0.0195,0,0.0195,2,particles,617.75,Bz,data/GEM_2_2471_0.0195_0_0.0195_2_particles_617.75_Bz.vtu
GEM_2,2472,0.0195,0,0.0195,2,particles,618,mag(B),data/GEM_2_2472_0.0195_0_0.0195_2_particles_618_mag(B).vtu
GEM_2,2472,0.0195,0,0.0195,2,particles,618,Bz,data/GEM_2_2472_0.0195_0_0.0195_2_particles_618_Bz.vtu
GEM_2,2473,0.0195,0,0.0195,2,particles,618.25,mag(B),data/GEM_2_2473_0.0195_0_0.0195_2_particles_618.25_mag(B).vtu
GEM_2,2473,0.0195,0,0.0195,2,particles,618.25,Bz,data/GEM_2_2473_0.0195_0_0.0195_2_particles_618.25_Bz.vtu
GEM_2,2474,0.0195,0,0.0195,2,particles,618.5,mag(B),data/GEM_2_2474_0.0195_0_0.0195_2_particles_618.5_mag(B).vtu
GEM_2,2474,0.0195,0,0.0195,2,particles,618.5,Bz,data/GEM_2_2474_0.0195_0_0.0195_2_particles_618.5_Bz.vtu
GEM_2,2475,0.0195,0,0.0195,2,particles,618.75,mag(B),data/GEM_2_2475_0.0195_0_0.0195_2_particles_618.75_mag(B).vtu
GEM_2,2475,0.0195,0,0.0195,2,particles,618.75,Bz,data/GEM_2_2475_0.0195_0_0.0195_2_particles_618.75_Bz.vtu
GEM_2,2476,0.0195,0,0.0195,2,particles,619,mag(B),data/GEM_2_2476_0.0195_0_0.0195_2_particles_619_mag(B).vtu
GEM_2,2476,0.0195,0,0.0195,2,particles,619,Bz,data/GEM_2_2476_0.0195_0_0.0195_2_particles_619_Bz.vtu
GEM_2,2477,0.0195,0,0.0195,2,particles,619.25,mag(B),data/GEM_2_2477_0.0195_0_0.0195_2_particles_619.25_mag(B).vtu
GEM_2,2477,0.0195,0,0.0195,2,particles,619.25,Bz,data/GEM_2_2477_0.0195_0_0.0195_2_particles_619.25_Bz.vtu
GEM_2,2478,0.0195,0,0.0195,2,particles,619.5,mag(B),data/GEM_2_2478_0.0195_0_0.0195_2_particles_619.5_mag(B).vtu
GEM_2,2478,0.0195,0,0.0195,2,particles,619.5,Bz,data/GEM_2_2478_0.0195_0_0.0195_2_particles_619.5_Bz.vtu
GEM_2,2479,0.0195,0,0.0195,2,particles,619.75,mag(B),data/GEM_2_2479_0.0195_0_0.0195_2_particles_619.75_mag(B).vtu
GEM_2,2479,0.0195,0,0.0195,2,particles,619.75,Bz,data/GEM_2_2479_0.0195_0_0.0195_2_particles_619.75_Bz.vtu
GEM_2,2480,0.0195,0,0.0195,2,particles,620,mag(B),data/GEM_2_2480_0.0195_0_0.0195_2_particles_620_mag(B).vtu
GEM_2,2480,0.0195,0,0.0195,2,particles,620,Bz,data/GEM_2_2480_0.0195_0_0.0195_2_particles_620_Bz.vtu
GEM_2,2481,0.0195,0,0.0195,2,particles,620.25,mag(B),data/GEM_2_2481_0.0195_0_0.0195_2_particles_620.25_mag(B).vtu
GEM_2,2481,0.0195,0,0.0195,2,particles,620.25,Bz,data/GEM_2_2481_0.0195_0_0.0195_2_particles_620.25_Bz.vtu
GEM_2,2482,0.0195,0,0.0195,2,particles,620.5,mag(B),data/GEM_2_2482_0.0195_0_0.0195_2_particles_620.5_mag(B).vtu
GEM_2,2482,0.0195,0,0.0195,2,particles,620.5,Bz,data/GEM_2_2482_0.0195_0_0.0195_2_particles_620.5_Bz.vtu
GEM_2,2483,0.0195,0,0.0195,2,particles,620.75,mag(B),data/GEM_2_2483_0.0195_0_0.0195_2_particles_620.75_mag(B).vtu
GEM_2,2483,0.0195,0,0.0195,2,particles,620.75,Bz,data/GEM_2_2483_0.0195_0_0.0195_2_particles_620.75_Bz.vtu
GEM_2,2484,0.0195,0,0.0195,2,particles,621,mag(B),data/GEM_2_2484_0.0195_0_0.0195_2_particles_621_mag(B).vtu
GEM_2,2484,0.0195,0,0.0195,2,particles,621,Bz,data/GEM_2_2484_0.0195_0_0.0195_2_particles_621_Bz.vtu
GEM_2,2485,0.0195,0,0.0195,2,particles,621.25,mag(B),data/GEM_2_2485_0.0195_0_0.0195_2_particles_621.25_mag(B).vtu
GEM_2,2485,0.0195,0,0.0195,2,particles,621.25,Bz,data/GEM_2_2485_0.0195_0_0.0195_2_particles_621.25_Bz.vtu
GEM_2,2486,0.0195,0,0.0195,2,particles,621.5,mag(B),data/GEM_2_2486_0.0195_0_0.0195_2_particles_621.5_mag(B).vtu
GEM_2,2486,0.0195,0,0.0195,2,particles,621.5,Bz,data/GEM_2_2486_0.0195_0_0.0195_2_particles_621.5_Bz.vtu
GEM_2,2487,0.0195,0,0.0195,2,particles,621.75,mag(B),data/GEM_2_2487_0.0195_0_0.0195_2_particles_621.75_mag(B).vtu
GEM_2,2487,0.0195,0,0.0195,2,particles,621.75,Bz,data/GEM_2_2487_0.0195_0_0.0195_2_particles_621.75_Bz.vtu
GEM_2,2488,0.0195,0,0.0195,2,particles,622,mag(B),data/GEM_2_2488_0.0195_0_0.0195_2_particles_622_mag(B).vtu
GEM_2,2488,0.0195,0,0.0195,2,particles,622,Bz,data/GEM_2_2488_0.0195_0_0.0195_2_particles_622_Bz.vtu
GEM_2,2489,0.0195,0,0.0195,2,particles,622.25,mag(B),data/GEM_2_2489_0.0195_0_0.0195_2_particles_622.25_mag(B).vtu
GEM_2,2489,0.0195,0,0.0195,2,particles,622.25,Bz,data/GEM_2_2489_0.0195_0_0.0195_2_particles_622.25_Bz.vtu
GEM_2,2490,0.0195,0,0.0195,2,particles,622.5,mag(B),data/GEM_2_2490_0.0195_0_0.0195_2_particles_622.5_mag(B).vtu
GEM_2,2490,0.0195,0,0.0195,2,particles,622.5,Bz,data/GEM_2_2490_0.0195_0_0.0195_2_particles_622.5_Bz.vtu
GEM_2,2491,0.0195,0,0.0195,2,particles,622.75,mag(B),data/GEM_2_2491_0.0195_0_0.0195_2_particles_622.75_mag(B).vtu
GEM_2,2491,0.0195,0,0.0195,2,particles,622.75,Bz,data/GEM_2_2491_0.0195_0_0.0195_2_particles_622.75_Bz.vtu
GEM_2,2492,0.0195,0,0.0195,2,particles,623,mag(B),data/GEM_2_2492_0.0195_0_0.0195_2_particles_623_mag(B).vtu
GEM_2,2492,0.0195,0,0.0195,2,particles,623,Bz,data/GEM_2_2492_0.0195_0_0.0195_2_particles_623_Bz.vtu
GEM_2,2493,0.0195,0,0.0195,2,particles,623.25,mag(B),data/GEM_2_2493_0.0195_0_0.0195_2_particles_623.25_mag(B).vtu
GEM_2,2493,0.0195,0,0.0195,2,particles,623.25,Bz,data/GEM_2_2493_0.0195_0_0.0195_2_particles_623.25_Bz.vtu
GEM_2,2494,0.0195,0,0.0195,2,particles,623.5,mag(B),data/GEM_2_2494_0.0195_0_0.0195_2_particles_623.5_mag(B).vtu
GEM_2,2494,0.0195,0,0.0195,2,particles,623.5,Bz,data/GEM_2_2494_0.0195_0_0.0195_2_particles_623.5_Bz.vtu
GEM_2,2495,0.0195,0,0.0195,2,particles,623.75,mag(B),data/GEM_2_2495_0.0195_0_0.0195_2_particles_623.75_mag(B).vtu
GEM_2,2495,0.0195,0,0.0195,2,particles,623.75,Bz,data/GEM_2_2495_0.0195_0_0.0195_2_particles_623.75_Bz.vtu
GEM_2,2496,0.0195,0,0.0195,2,particles,624,mag(B),data/GEM_2_2496_0.0195_0_0.0195_2_particles_624_mag(B).vtu
GEM_2,2496,0.0195,0,0.0195,2,particles,624,Bz,data/GEM_2_2496_0.0195_0_0.0195_2_particles_624_Bz.vtu
GEM_2,2497,0.0195,0,0.0195,2,particles,624.25,mag(B),data/GEM_2_2497_0.0195_0_0.0195_2_particles_624.25_mag(B).vtu
GEM_2,2497,0.0195,0,0.0195,2,particles,624.25,Bz,data/GEM_2_2497_0.0195_0_0.0195_2_particles_624.25_Bz.vtu
GEM_2,2498,0.0195,0,0.0195,2,particles,624.5,mag(B),data/GEM_2_2498_0.0195_0_0.0195_2_particles_624.5_mag(B).vtu
